feature,score
g1.g1.g1,0.0748826068378866
CHAM830101,0.07483292403728027
ISOY800107,0.07469192656172129
MEEJ800101,0.0746677606959543
ISOY800102,0.0744275689779066
QIAN880130,0.0742123085949525
GEIM800111,0.07395669288716096
g1.g1.g6,0.07372690514739041
MITS020101,0.07334400349510585
ARGP820102,0.07313137135612592
KARS160122,0.07309450429852997
ARGP820101,0.07264298095717726
JOND750101,0.07258607541447182
MUNV940104,0.07130764160332338
AURR980102,0.07114968431438246
LEVM780106,0.07097347397688286
NAKH900108,0.07077396798481861
BUNA790101,0.07069614695227551
g4.g5.g5,0.07020434119416269
KARS160108,0.06986829163167892
QIAN880139,0.06948193743794571
CHAM830106,0.06935309218943231
BEGF750103,0.06903658572522882
QIAN880103,0.06894497555363724
VASM830103,0.06878053561397052
NAKH900102,0.0686999671833252
g5.g5.g1,0.06865025073738022
AURR980115,0.06857253505220609
BEGF750101,0.06854889449714079
NAGK730103,0.068392715125506
HOPA770101,0.0680785846052374
NAKH900112,0.06796927549469763
TANS770105,0.06785953941495092
